2021-04-17/15:47:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:54		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:54		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:54		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:54		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:55		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:55		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:55		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:55		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:56		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:56		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:56		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:56		 wafer_21012020_080913.csv: File loaded successfully!!
2021-04-17/15:47:56		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:57		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:57		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:57		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:57		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:57		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:58		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:58		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:58		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:58		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:59		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:59		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:59		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:47:59		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:00		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:00		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:00		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:00		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:00		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:01		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:01		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:01		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:01		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:01		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:02		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:02		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:02		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:02		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:03		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:03		 wafer_23012020_041211.csv: File loaded successfully!!
2021-04-17/15:48:03		 wafer_23012020_041211.csv: File loaded successfully!!
